id,created_at,text,geo,coordinates,retweet_count,favorite_count
1208813274860576768,Sun Dec 22 18:15:18 +0000 2019,@gideon_maritim @BBCAfrica @citizentvkenya Revolutions are led by comrades. There is no elite hierarchy. Unveil you… https://t.co/OGpDYQ9wcW,,,0,6
1208812937302986754,Sun Dec 22 18:13:57 +0000 2019,@brunoclifford23 @BBCAfrica @citizentvkenya Viva!,,,0,1
1208811948365828096,Sun Dec 22 18:10:01 +0000 2019,@waweru @jnyairo Joyce Wambui Nyairo serves the neocolonial system that perpetuates inequalities and injustices in… https://t.co/G9Lk3mnYSc,,,2,8
1208809725569224707,Sun Dec 22 18:01:11 +0000 2019,@jnyairo Wambui: With a doctorate in literature - if you actually obtained it on merit - you must respect yourself… https://t.co/fDk1FR0Hu1,,,6,35
1208808684274569217,Sun Dec 22 17:57:03 +0000 2019,@ItsNyagah Not just Despot Uhuru Kenyatta. All despots and conmen including Raila Odinga and William Ruto fear me a… https://t.co/rgKrHAq31q,,,4,20
1208807494048456704,Sun Dec 22 17:52:19 +0000 2019,@muhamumi He was comfortable in the KANU/Moi tyranny from 1998-2002; Mwai Kibaki tribal and graft-riddled regime fr… https://t.co/uFikwS6FPu,,,1,5
1208806255944458240,Sun Dec 22 17:47:24 +0000 2019,@nairobichik @BBCAfrica @citizentvkenya Welcome. Viva!,,,0,12
1208805417779912704,Sun Dec 22 17:44:04 +0000 2019,"@cosmas_mwaka @BBCAfrica @citizentvkenya Why are you waiting for me? I'm not your husband, Mrs. Orangutan. #WajingaNyinyi",,,3,36
1208804467799396352,Sun Dec 22 17:40:18 +0000 2019,"@SolomonMari @Olaf_Ke @BBCAfrica @citizentvkenya Once you liberate your head completely, the pain will subside. Cheers. Viva!",,,3,31
1208803387313213441,Sun Dec 22 17:36:00 +0000 2019,"@Michael_ouma @DrRoselynAkombe ""Accommodative representation"" for 5 castrated, cowardly, greedy and looting senile… https://t.co/39xuhdN5Ra",,,11,63
1208802487551041537,Sun Dec 22 17:32:26 +0000 2019,@DrRoselynAkombe They are doing that right now. The #BBINonsense is about sharing the public resources by the elite… https://t.co/fcJFXHUudB,,,5,82
1208801750196596737,Sun Dec 22 17:29:30 +0000 2019,"@DrRoselynAkombe Patriot: ""Liberation"" with Outtara clinging to power in violation of the Constitution of Ivory Coast?",,,0,9
1208800250099650561,Sun Dec 22 17:23:32 +0000 2019,@idealist254 @BBCAfrica @citizentvkenya You have been reading without comprehension. #Wajinganyiyi,,,1,14
1208797950580793349,Sun Dec 22 17:14:24 +0000 2019,@ManasesVidar @BBCAfrica @citizentvkenya We are focused on Kenya; not Nairobi. #Wajinganyiyi,,,0,9
1208797291823476737,Sun Dec 22 17:11:47 +0000 2019,@ShyguhSesom @BBCAfrica @citizentvkenya Stop silly distractions and FOCUS! Merry Pan-Afrikan Christmas!,,,0,2
1208795763712626688,Sun Dec 22 17:05:43 +0000 2019,"Wishing everyone a Merry Pan-Afrikan Christmas, Happy New Year and a Free Kenya in 2020. See you in Nairobi on Janu… https://t.co/MA5HWOmXrw",,,174,830
1208774694486364162,Sun Dec 22 15:41:59 +0000 2019,@saphan_ochieng Raila + Kenyatta = Despotism! #Wajinganyiyi,,,0,3
1208773437130498049,Sun Dec 22 15:36:59 +0000 2019,@mandelapalmer January 7. #Wajinganyiyi,,,0,8
1208770946221379586,Sun Dec 22 15:27:06 +0000 2019,@NyalePeter @RailaOdinga Liberate your colonized mind. Read. Digest. Understand. Or shut up.,,,0,25
1208770611360735232,Sun Dec 22 15:25:46 +0000 2019,@WFaith100 @NdirituJNN @RailaOdinga They are illiterate.,,,0,2
1208769609987440642,Sun Dec 22 15:21:47 +0000 2019,Patriotic Kenyans are the field slaves. Fed up with and resisting slavery. Fearlessly fighting for freedom. Pouring… https://t.co/mKOnE0gkF7,,,73,469
1208766946642202628,Sun Dec 22 15:11:12 +0000 2019,@josephondugmai1 Mjinga: I've been giving you remedies for 30 years but you are so stupid that instead of appreciat… https://t.co/cafUGxHX5U,,,1,20
1208766426758156288,Sun Dec 22 15:09:08 +0000 2019,"As Malcolm X brilliantly observed, when the slave owner's house catches fire, the field slaves (revolutionaries) pr… https://t.co/EzMZKkeZ3y",,,69,362
1208765735138418689,Sun Dec 22 15:06:23 +0000 2019,"When one forcefully occupies your land, dehumanizes you and your people; you either resists the injustice or surren… https://t.co/UXtJE3oquq",,,41,204
1208762675423010817,Sun Dec 22 14:54:14 +0000 2019,"From 2008 to 2013, Conman Raila Odinga and ODM sycophants complained that the Grand Coalition was the WORST experim… https://t.co/skqWsybXgX",,,111,557
1208581399806132224,Sun Dec 22 02:53:54 +0000 2019,@austinbutiko Even stupidity has its limits: You are in Kenya and I'm in exile but you want me to tell you how the… https://t.co/SQu3YXdP77,,,4,19
1208538696569503747,Sun Dec 22 00:04:13 +0000 2019,"Two questions for Kivutha Kibwana who seems to have lost his mind:

Why didn't the Prime Minister's post strengthen… https://t.co/xtSiAzlH6d",,,35,181
1208500283355156480,Sat Dec 21 21:31:35 +0000 2019,@kelvine_paul @GithiomiDaniel The French Revolution was not socialist. Industrial revolution was about technologica… https://t.co/Y6ZUXTz6Xd,,,1,7
1208498330520760328,Sat Dec 21 21:23:49 +0000 2019,"@Bichage_James @ntvkenya False. There was no election. Moreover, it doesn't matter. Anyone occupying public office… https://t.co/DvBqt8L9u2",,,1,5
1208490154828189698,Sat Dec 21 20:51:20 +0000 2019,"@Bichage_James @ntvkenya You ""chose them"" even though there was no credible election in 2017? What would it take to… https://t.co/azoz37rDTb",,,2,5
1208489796336836609,Sat Dec 21 20:49:54 +0000 2019,@zungumuza @RailaOdinga @WilliamsRuto If you have not gotten my message which has been consistent for 30 years then… https://t.co/LidQmCFFcq,,,4,21
