id,created_at,text
1204425227255590914,2019-12-10 15:38:45,b'RT @Db_Cooper71: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c https://t.co/juYQcuEfny'
1204424990571073537,2019-12-10 15:37:49,"b'@Fbillionare \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Wacha ntabeba, alafu ni mamimba tu utakuwa unapeana'"
1204424841790676993,2019-12-10 15:37:14,b'RT @steviemOsly: Vako https://t.co/p51KQhbfhw'
1204424371781197825,2019-12-10 15:35:22,b'RT @Fbillionare: @CrazyNairobian unibebee mali ya huyo msee wako wa Shamakhokho'
1204424335567577088,2019-12-10 15:35:13,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Unataka kuchizi? https://t.co/1EsqTfHcm6'
1204424203639939072,2019-12-10 15:34:41,b'RT @DanBiwott2: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dOgSr2n4Tm'
1204424158140080128,2019-12-10 15:34:31,b'@Bill_Kym \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Hata sijaskia vibaya'
1204424106524971008,2019-12-10 15:34:18,b'RT @Bill_Kym: Redeem followers 20K females wasupa kwa ile account ingine uwakule\xf0\x9f\x98\x85 https://t.co/TzSdLq4I7W'
1204424003013750786,2019-12-10 15:33:54,b'You can get your tickets at https://t.co/DWlZuRlpu3\n\n#WanjikuAt10'
1204423827838644224,2019-12-10 15:33:12,b'@Njaanuary1 @JumiaFoodKE \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Ayaya.'
1204423379878580230,2019-12-10 15:31:25,"b""Y'all can show up and celebrate 10 years of Teacher Wanjiku. \nTickets go at only 1000 Bob... Tomorrow all roads lea\xe2\x80\xa6 https://t.co/IleAnstzyw"""
1204422891829420032,2019-12-10 15:29:29,b'Aye @JumiaFoodKE kesho nitabaki na change ya 200bob nikishalipa fare. Naweza kula nini? \xf0\x9f\x99\x88'
1204421299092828162,2019-12-10 15:23:09,"b""RT @TeacherWanjiku: It's a celebration tomorrow!\nYou have been part of my journey so you shouldn't miss out on this.\n#WanjikuAt10 https://t\xe2\x80\xa6"""
1204421283712253953,2019-12-10 15:23:05,"b'RT @KibetClinton_: If we bring this 10 year  challenge back, @TeacherWanjiku is winning this. \n#WanjikuAt10 https://t.co/Ys7JhaNc6k'"
1204421225436635138,2019-12-10 15:22:51,b'RT @bosibori_Ke: When comedy was comedy. Do you guys remember Ticha Wanjiku \xf0\x9f\x98\x81\n\n#WanjikuAt10 https://t.co/1R3ncDhMY1'
1204421204221800449,2019-12-10 15:22:46,"b""RT @mssheilakimani: Congratulations Teacher Wanjiku! It's been 10 years since you started comedy pale kwa theaters and now here you are! \n#\xe2\x80\xa6"""
1204420852898504706,2019-12-10 15:21:23,b'RT @Lukunga_Kons: Maybe ni juu tunatumia urine excreting organs for the same purpose\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2 https://t.co/p6CEEfGYJv'
1204420809655308298,2019-12-10 15:21:12,b'RT @mashariaEric: \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/acK9MynTe2'
1204420705351282689,2019-12-10 15:20:47,b'RT @sheila_bureti: This weather though \xf0\x9f\x99\x84 https://t.co/cvDBv7SQzd'
1204420258330742784,2019-12-10 15:19:01,"b'RT @Happie_Thom: Wanasema muombaji hakosi, basi naendelea kuwaomba wana twitter retweet zenu kwenye pinned post yangu\xf0\x9f\x98\x8a\nMwisho ni tarehe 12\xe2\x80\xa6'"
1204419958396129282,2019-12-10 15:17:49,b'RT @Kevlan_: One of the most notable performances @TeacherWanjiku has done. I enjoyed her performance so much at the Laugh Festival 2. Sens\xe2\x80\xa6'
1204419150354898944,2019-12-10 15:14:37,b'You can turn up and celebrate 10 years of @TeacherWanjiku \xf0\x9f\x98\x8a\xf0\x9f\x8e\x89\nCongratulations Mwalimu #WanjikuAt10 https://t.co/ROLPqTCInY'
1204412647673696257,2019-12-10 14:48:46,b'RT @___eyan___: Inauma but.... https://t.co/LrPYSKkyaV'
1204412613909598209,2019-12-10 14:48:38,b'RT @larrykubende: Tales of the crazynairobian https://t.co/Faj8u9WqBv'
1204412511686025216,2019-12-10 14:48:14,"b'Njaro, ambience, corner but sana sana madem \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x91\x8c https://t.co/TevPBeluFT'"
1204411782204293120,2019-12-10 14:45:20,b'RT @donny_duke: 15 minutes apart \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/eH5a0IPvai'
1204411041813188610,2019-12-10 14:42:23,b'Tickets are available at https://t.co/DWlZuRD0lB\n#WanjikuAt10'
1204410537494241281,2019-12-10 14:40:23,b'On the 11th Dec 2019 Mwalimu Production in conjunction with Alliance Francaise Present @TeacherWanjiku @ 10. Celebr\xe2\x80\xa6 https://t.co/DskSHWSA7N'
1204400199579373569,2019-12-10 13:59:18,"b'RT @Itslastborn2: @crazynairobian unaeza relate hii, \n\nJust funny.....\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Iwlh4zC82X'"
1204400091177660416,2019-12-10 13:58:53,b'Niko karibu kununua sura ya Instagram ndio notification zi match za Twitter \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/q23YRBxOzG'
1204399769331945473,2019-12-10 13:57:36,"b""RT @Mbirira_: \xf0\x9f\x98\x82 Situation can't be realer than this https://t.co/J1BXqdqP6e"""
1204399604961357824,2019-12-10 13:56:57,b'RT @JoshKhaleefar: kwani urinals unafaa kuingia mmoja mmoja? https://t.co/O7sAKmuL68'
1204399138173009923,2019-12-10 13:55:05,b'RT @Kianangih: The Police were rioting and comrades were trying to calm them down. https://t.co/2xP6ndkpJ8'
1204398933688160257,2019-12-10 13:54:17,b'RT @OsamaOtero: Uzuri dereva anajua \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 mimi nitafunga tu macho nimshow akifika Tsavo East aniamshe nione ndovu then niende #KOT5Aside ...lo\xe2\x80\xa6'
1204398402043305984,2019-12-10 13:52:10,"b'RT @AkainuBerbaric: Nobody be has their shit together like a chick with no ass, they be graduating top of their class and shit'"
1204397946386690048,2019-12-10 13:50:21,"b'RT @stacceeeeeeee: When you were laughing at your friend\'s marks then teacher aseme ""I have arranged them in descending order""\xf0\x9f\x98\x82 https://t.c\xe2\x80\xa6'"
1204396556734078976,2019-12-10 13:44:50,b'@_PunStar \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Puntastic thread \xf0\x9f\x91\x8c'
